"use_case_id","name","business_owner","risk_owner","compliance_owner","customer_segment","jurisdictions","autonomy_level","risk_level","priority","wave","implementation_decision","description","permitted_actions","prohibited_actions","required_authentication_base","required_authentication_step_up","required_disclosures","fraud_controls","human_handoff_triggers","backend_systems","required_components","audit_required","retention_policy","success_metrics","pre_release_tests","regulatory_considerations","evaluation_scenarios","deferred_reason"
"UC-001","Branch and ATM Locator","Contact Center Operations","N/A","N/A","Retail banking; SME","SG; EU; UK; US","A0","Low","P1","First","Allow","Caller asks for nearest branch or ATM location based on address, suburb, or postal code. AI responds with location details, operating hours, and available services.","Search location database; return branch/ATM details; offer to send SMS with directions","Disclose any account information; access customer records","AUTH_0 (none)","N/A","None","None","Request for services not available at suggested branch; accessibility requirements","Branch/ATM location database (read-only)","RAG Service; Conversation Runtime; basic Policy Engine","Yes","Standard call recording","Containment rate; caller satisfaction; location accuracy","golden_calls; content_boundary_testing; hallucination_testing; advice_boundary_testing","Minimal. Accessibility requirements for visually impaired callers.","Ambiguous location queries; locations near branch coverage gaps; after-hours queries; multilingual location names","N/A"
"UC-002","Product FAQ from Approved Knowledge","Contact Center Operations","Product Compliance","Retail Banking Compliance","Retail banking; SME","SG; EU; UK; US","A0","Low-Medium","P1","First","Allow","Caller asks about banking products (savings accounts, credit cards, loans, mortgages). AI responds from approved knowledge base only. No personalized recommendations. No suitability assessment.","Search approved product knowledge base; provide factual product information; offer to connect to product specialist","Recommend specific products; provide personalized rates or pricing; assess suitability; compare products in ways that constitute advice; disclose any account information","AUTH_0 (none)","N/A","None","None","Questions crossing into advice territory; questions about product suitability; questions about specific rates or personalized pricing; caller expressing financial difficulty","Approved product content repository (read-only)","RAG Service (approved-content-only with citation tracking); Conversation Runtime; Policy Engine (advice boundary detection)","Yes","Standard call recording","Containment rate; advice boundary violation rate; caller satisfaction","golden_calls; content_boundary_testing; hallucination_testing; advice_boundary_testing","Financial advice boundary is jurisdictionally sensitive. MAS, MiFID II (EU), FCA (UK), FINRA (US) all restrict personalized product recommendations. Policy Engine must detect and block advice-boundary crossings. RAG must return only bank-approved content.","Questions subtly crossing from information to advice; outdated product information; competitor product questions; T&C nuances","N/A"
"UC-003","Opening Hours and Appointment Booking","Contact Center Operations","N/A","N/A","Retail banking; SME","SG; EU; UK; US","A0 / A4","Low","P2","First","Allow","Caller asks about branch/department hours. If booking is available, AI can schedule an appointment. Hours portion is A0, appointment booking is A4.","Provide hours; check appointment availability; book appointment slots","Access account information; change account settings","AUTH_0 for hours; AUTH_2 for booking if linked to account","N/A","None","None for hours; caller verification for booking","Complex booking requirements; accessibility needs; branch not found","Branch hours database; appointment booking system","RAG Service (hours/calendar); Tool Gateway (booking system write for A4); Conversation Runtime","Yes","Standard call recording","Containment rate; booking completion rate; no-show rate","golden_calls; content_boundary_testing; policy_violation_tests; noisy_audio","Minimal. Call recording consent applies.","Holiday schedules; temporary closures; booking conflicts; time zone handling","N/A"
"UC-004","Intelligent Intent Classification and Routing","Contact Center Operations","Contact Center Operations","Retail Banking Compliance","All segments","SG; EU; UK; US","A1","Low-Medium","P1","First","Allow","Replaces legacy IVR tree with natural language intent classification. Caller states reason for calling. AI classifies intent, applies routing rules, and transfers to appropriate queue, workflow, or specialist.","Classify intent; determine routing; provide estimated wait times; offer callback; route call","Disclose account data; attempt to resolve issues beyond routing; promise specific outcomes","AUTH_0 (none initially); may request basic verification for routing to authenticated queues","N/A","Recording notice","Vulnerability detection from first utterance","Unrecognized intent after two attempts; caller frustration; caller requesting specific person; emergency (threat, fraud in progress)","ACD/routing system; queue management; workforce management","Conversation Runtime (intent classification); Policy Engine (routing rules); Human Control Center (queue management)","Yes","Standard call recording","Routing accuracy; first-contact resolution; misroute rate; AHT reduction","golden_calls; intent_classification_accuracy; emergency_detection; vulnerability_detection; noisy_audio; accent_suite","Call recording consent at start. Vulnerability detection active from first utterance for appropriate routing.","Multi-intent calls; ambiguous intent; emotional callers; callers refusing to state intent; code-switching; noisy audio; callers reading from scripts (social engineering)","N/A"
"UC-005","Balance and Recent Transactions","Contact Center Operations","Information Security","Data Protection Officer","Retail banking","SG; EU; UK; US","A2","Medium","P1","First","Allow","Authenticated caller requests account balance and/or recent transaction history. AI retrieves from core banking and reads back.","Authenticate caller; retrieve balance; retrieve last N transactions; read transaction details","Disclose full account numbers; disclose other accounts not explicitly requested; provide financial advice based on balance; disclose to unauthorized callers","AUTH_2 (account lookup + knowledge-based verification)","AUTH_3 (OTP/app push) recommended","Recording notice","Caller risk score; account risk score; step-up on high risk; human transfer on critical risk","Authentication failure; suspicious activity on account; caller disputes transaction; caller distress about balance","Core banking (balance API); transaction history API; authentication/identity service; fraud risk scoring","Fraud-Aware Identity Layer; Tool Gateway (core banking read); Policy Engine (disclosure rules, PCI redaction); Conversation Runtime; Audit Ledger","Yes","Bank policy call recordings; PCI-compliant for card data","Containment rate; unauthorized disclosure rate; authentication success rate; AHT","golden_calls; authentication_bypass_testing; disclosure_policy_testing; PCI_redaction_testing; social_engineering; noisy_audio; accent_suite","Balance is account-specific PII. Must verify identity before disclosure. PCI DSS applies if card numbers appear. Audit trail must record what was disclosed, to whom, when. Some jurisdictions restrict recording of full card numbers.","Multiple accounts; joint accounts; overdrawn accounts; callers asking about unrecognized transactions; PCI-sensitive data in descriptions","N/A"
"UC-006","Application Status Inquiry","Contact Center Operations","Credit Risk","Retail Banking Compliance","Retail banking; SME","SG; EU; UK; US","A2","Low-Medium","P2","First","Allow","Caller checks status of a pending application (credit card, loan, account opening). AI retrieves status from application processing system.","Authenticate caller; retrieve application status; provide expected timeline; explain next steps","Disclose application decision rationale (for credit products); change application details; expedite processing; disclose to non-applicant","AUTH_2","N/A","Recording notice","Caller risk score; identity verification","Application rejected (caller needs explanation); application stuck/delayed; caller wants to modify application","Application processing system (read-only); CRM","Fraud-Aware Identity Layer; Tool Gateway (application system read); Policy Engine; Conversation Runtime","Yes","Standard call recording","Containment rate; caller satisfaction; repeat call rate","golden_calls; authentication_bypass_testing; disclosure_policy_testing; PCI_redaction_testing; social_engineering; noisy_audio; accent_suite","Credit decision explanations may trigger adverse action notice requirements (US ECOA/Reg B, UK FCA). AI must not explain credit decisions.","Multiple pending applications; joint applications; different stages; callers wanting reasons for delays","N/A"
"UC-007","Complaint Intake","Contact Center Operations","Complaints Management","Retail Banking Compliance","All segments","SG; EU; UK; US","A3","Medium-High","P1","First","Allow","Caller wishes to lodge a complaint. AI captures complaint details, classifies the complaint type, creates a case record, and confirms reference number. AI does not resolve the complaint.","Authenticate caller; capture complaint narrative; classify complaint category; create case in complaint system; provide reference number; set response timeline expectations","Resolve or adjudicate the complaint; offer compensation; admit liability; promise specific outcomes; dismiss the complaint","AUTH_2","N/A","Recording notice; complaint process disclosure; expected response timeline","Caller risk score; vulnerability detection (mandatory)","Caller distress or anger; complaint involves potential regulatory breach; complaint about AI itself; caller requests supervisor; vulnerability indicators","Complaint management system; CRM; case routing system","Fraud-Aware Identity Layer; Tool Gateway (complaint system write - draft); Policy Engine (complaint classification, vulnerability detection); Conversation Runtime; Audit Ledger (complete recording and transcript)","Yes","Complaint retention policy (regulatory minimum varies by jurisdiction)","Complaint capture completeness; classification accuracy; caller satisfaction; time to create case","golden_calls; adversarial_prompt_injection; case_creation_validation; vulnerability_detection; noisy_audio; accent_suite; policy_violation_tests","UK FCA requires complaints acknowledged, investigated, resolved within prescribed timeframes. MAS requires fair and prompt handling. US CFPB tracks patterns. AI role is intake only. Record must be tamper-evident and auditable. Vulnerability detection mandatory throughout.","Emotionally charged callers; multi-issue complaints; fee overlap complaints; third-party complaints; caller wrong but must be handled respectfully; systemic issues","N/A"
"UC-008","Lost or Stolen Card - Block and Replace","Card Operations","Fraud Operations","Card Compliance","Retail banking","SG; EU; UK; US","A4","Medium","P0","First","Allow","Caller reports card lost or stolen. AI authenticates, blocks the card immediately (urgent action to prevent fraud), initiates replacement card, and creates case notes.","Authenticate; block card; initiate replacement; confirm replacement delivery address; disclose replacement timeline; create case note","Disclose full card number; change customer address; initiate money movement; process pending transactions","AUTH_2 (soft auth for urgency)","AUTH_3 before replacement","Recording notice; replacement fee disclosure if applicable","Caller risk score; account risk score; step-up on high risk; human transfer on critical risk","Suspected account takeover; caller reports unauthorized transactions (escalate to fraud); tool error during card block; caller distress","Card processor (block API, replacement API); CRM; fraud case system; notification service","Fraud-Aware Identity Layer; Tool Gateway (card processor write); Policy Engine (risk assessment, step-up rules); Conversation Runtime; Audit Ledger","Yes","Bank policy call recordings; fraud retention","Card block time; containment rate; unauthorized action rate; AHT; fraud escape rate in simulation","golden_calls; adversarial_prompt_injection; fraud_simulation; social_engineering; noisy_audio; accent_suite; policy_violation_tests; rollback_testing","Card blocking is consumer-protective. Urgency justifies faster authentication. Replacement requires stricter identity verification (address disclosure, new card issuance). PCI DSS applies. Replacement fees must be disclosed before processing.","Social engineering (calling about mothers card); callers without card details; multiple cards on account; joint accounts; international callers; recent address changes; noisy audio during verification","N/A"
"UC-009","Card Activation","Card Operations","Fraud Operations","Card Compliance","Retail banking","SG; EU; UK; US","A4","Medium","P1","First","Allow","Caller received a new or replacement card and wants to activate it. AI verifies identity with step-up authentication, activates the card, and confirms.","Authenticate with step-up; activate card; confirm activation; set temporary spending limits if applicable","Change PIN; disclose full card number; modify account settings","AUTH_3 (OTP or app push)","Required as baseline","Recording notice","Step-up authentication mandatory; fraud risk scoring; suspicious activation detection","Authentication failure; card not found in system; card already activated; suspicious activity","Card processor (activation API); authentication service (OTP/push); CRM","Fraud-Aware Identity Layer; Tool Gateway (card processor activation API); Policy Engine (step-up enforcement); Conversation Runtime; Audit Ledger","Yes","Bank policy call recordings","Activation success rate; containment rate; AHT; fraud detection rate","golden_calls; adversarial_prompt_injection; fraud_simulation; social_engineering; noisy_audio; accent_suite; policy_violation_tests; rollback_testing","Card activation requires strong authentication per PCI DSS and card scheme rules.","Caller without phone for OTP; activating card they did not request (potential fraud); replacement card activation while old still active","N/A"
"UC-010","Statement Request","Contact Center Operations","Information Security","Data Protection Officer","Retail banking; SME","SG; EU; UK; US","A4","Low-Medium","P2","First","Allow","Caller requests a copy of a recent statement. AI authenticates, confirms statement period, verifies delivery preference, and submits request.","Authenticate; confirm statement period; verify delivery address/email; submit statement request; provide expected delivery timeline","Read out full statement contents over phone; change delivery address; access statements older than retention period","AUTH_2","AUTH_3 for delivery to non-default address","Recording notice","Address verification; non-default delivery step-up","Statement period not available; caller wants statement for closed account; caller disputes statement contents","Statement generation system; fulfillment/delivery service; CRM","Fraud-Aware Identity Layer; Tool Gateway (statement fulfillment API); Policy Engine (delivery controls); Conversation Runtime; Audit Ledger","Yes","Standard call recording","Containment rate; fulfillment accuracy; AHT","golden_calls; adversarial_prompt_injection; fraud_simulation; social_engineering; noisy_audio; accent_suite; policy_violation_tests; rollback_testing","Statement delivery to non-registered addresses requires additional verification. Postal delivery must comply with data protection (no account details on envelope).","Multiple account types; historical statements beyond standard range; delivery to shared email (privacy); callers wanting statements read aloud","N/A"
